Input:
1.0 1.0 1.0
1.5 2.0 1.11803398875
2.0 1.5 1.11803398875

Output:
N: 16250 | Area: 0.947462
N: 16300 | Area: 0.943712
N: 16350 | Area: 0.951606
N: 16400 | Area: 0.94596
N: 16450 | Area: 0.943389
N: 16500 | Area: 0.941364
N: 16550 | Area: 0.944713
N: 16600 | Area: 0.94744
N: 16650 | Area: 0.942718
N: 16700 | Area: 0.941991
N: 16750 | Area: 0.939851
N: 16800 | Area: 0.947321
N: 16850 | Area: 0.945178
N: 16900 | Area: 0.941864
N: 16950 | Area: 0.946903
N: 17000 | Area: 0.93375
N: 17050 | Area: 0.941496
N: 17100 | Area: 0.939912
N: 17150 | Area: 0.947741
N: 17200 | Area: 0.946221
N: 17250 | Area: 0.945
N: 17300 | Area: 0.946026
N: 17350 | Area: 0.941643
N: 17400 | Area: 0.945977
N: 17450 | Area: 0.941476
N: 17500 | Area: 0.938857
N: 17550 | Area: 0.950142
N: 17600 | Area: 0.93956
N: 17650 | Area: 0.94738
N: 17700 | Area: 0.950494
N: 17750 | Area: 0.951056
N: 17800 | Area: 0.942065
N: 17850 | Area: 0.946359
N: 17900 | Area: 0.943226
N: 17950 | Area: 0.943733
N: 18000 | Area: 0.945278
N: 18050 | Area: 0.938435
N: 18100 | Area: 0.944475
N: 18150 | Area: 0.942149
N: 18200 | Area: 0.938255
N: 18250 | Area: 0.94726
N: 18300 | Area: 0.949863
N: 18350 | Area: 0.938965
N: 18400 | Area: 0.943478
N: 18450 | Area: 0.944309
N: 18500 | Area: 0.943851
N: 18550 | Area: 0.945081
N: 18600 | Area: 0.944825
N: 18650 | Area: 0.945576
N: 18700 | Area: 0.948128
N: 18750 | Area: 0.9482
N: 18800 | Area: 0.949402
N: 18850 | Area: 0.945424
N: 18900 | Area: 0.94332
N: 18950 | Area: 0.946636
N: 19000 | Area: 0.942829
N: 19050 | Area: 0.945407
N: 19100 | Area: 0.94051
N: 19150 | Area: 0.951828
N: 19200 | Area: 0.946029
N: 19250 | Area: 0.946234
N: 19300 | Area: 0.936075
N: 19350 | Area: 0.940827
N: 19400 | Area: 0.950966
N: 19450 | Area: 0.954177
N: 19500 | Area: 0.939487
N: 19550 | Area: 0.944309
N: 19600 | Area: 0.944069
N: 19650 | Area: 0.947774
N: 19700 | Area: 0.945178
N: 19750 | Area: 0.945063
N: 19800 | Area: 0.940657
N: 19850 | Area: 0.94597
N: 19900 | Area: 0.945477
N: 19950 | Area: 0.944361
N: 20000 | Area: 0.945625
N: 20050 | Area: 0.948878
N: 20100 | Area: 0.947948
N: 20150 | Area: 0.948759
N: 20200 | Area: 0.950743
N: 20250 | Area: 0.947469
N: 20300 | Area: 0.94415
N: 20350 | Area: 0.951597
